Year SSA-Mean -2SE +2SE
1443 -0.417 -1.277 0.443
1444 -0.607 -1.467 0.253
1445 -0.507 -1.367 0.353
1446 -0.637 -1.497 0.223
1447 -0.797 -1.657 0.063
1448 -0.427 -1.287 0.433
1449 -0.727 -1.587 0.133
1450 -0.307 -1.167 0.553
1451 -0.367 -1.227 0.493
1452 -0.297 -1.157 0.563
1453 0.063 -0.797 0.923
1454 -0.137 -0.997 0.723
1455 -0.067 -0.927 0.793
1456 -0.437 -1.297 0.423
1457 -0.077 -0.937 0.783
1458 -0.307 -1.167 0.553
1459 -0.757 -1.617 0.103
1460 -0.537 -1.397 0.323
1461 -0.127 -0.987 0.733
1462 -0.237 -1.097 0.623
1463 -0.037 -0.897 0.823
1464 -0.437 -1.297 0.423
1465 -0.377 -1.237 0.483
1466 -0.447 -1.307 0.413
1467 -0.047 -0.907 0.813
1468 -0.207 -1.067 0.653
1469 -0.167 -1.027 0.693
1470 0.163 -0.697 1.023
1471 -0.097 -0.957 0.763
1472 -0.067 -0.927 0.793
1473 -0.147 -1.007 0.713
1474 0.003 -0.857 0.863
1475 -0.077 -0.937 0.783
1476 -0.397 -1.257 0.463
1477 -0.387 -1.247 0.473
1478 -0.797 -1.657 0.063
1479 -0.837 -1.697 0.023
1480 -0.597 -1.457 0.263
1481 -0.587 -1.447 0.273
1482 -0.217 -1.077 0.643
1483 -0.437 -1.297 0.423
1484 -0.127 -0.987 0.733
1485 -0.587 -1.447 0.273
1486 -0.407 -1.267 0.453
1487 -0.697 -1.557 0.163
1488 -0.557 -1.417 0.303
1489 -0.407 -1.267 0.453
1490 -0.637 -1.497 0.223
1491 -0.427 -1.287 0.433
1492 -0.567 -1.392 0.258
1493 -0.587 -1.412 0.238
1494 -0.697 -1.522 0.128
1495 -0.107 -0.932 0.718
1496 -0.357 -1.182 0.468
1497 -0.197 -1.022 0.628
1498 -0.467 -1.292 0.358
1499 -0.767 -1.592 0.058
1500 -0.267 -1.092 0.558
1501 -0.427 -1.252 0.398
1502 -0.527 -1.352 0.298
1503 -0.187 -1.012 0.638
1504 -0.287 -1.112 0.538
1505 -0.317 -1.142 0.508
1506 -0.187 -1.012 0.638
1507 -0.637 -1.462 0.188
1508 -0.247 -1.072 0.578
1509 -0.297 -1.122 0.528
1510 -0.057 -0.882 0.768
1511 -0.537 -1.362 0.288
1512 -0.407 -1.232 0.418
1513 -0.077 -0.902 0.748
1514 0.013 -0.812 0.838
1515 0.043 -0.782 0.868
1516 0.223 -0.602 1.048
1517 -0.077 -0.902 0.748
1518 0.103 -0.722 0.928
1519 -0.187 -1.012 0.638
1520 0.243 -0.582 1.068
1521 -0.147 -0.972 0.678
1522 -0.157 -0.982 0.668
1523 -0.337 -1.162 0.488
1524 -0.247 -1.072 0.578
1525 -0.007 -0.832 0.818
1526 0.033 -0.792 0.858
1527 0.073 -0.752 0.898
1528 0.073 -0.752 0.898
1529 -0.217 -1.042 0.608
1530 -0.627 -1.452 0.198
1531 -0.157 -0.982 0.668
1532 0.113 -0.712 0.938
1533 -0.307 -1.132 0.518
1534 -0.157 -0.982 0.668
1535 -0.107 -0.932 0.718
1536 0.193 -0.632 1.018
1537 -0.037 -0.862 0.788
1538 0.093 -0.732 0.918
1539 -0.157 -0.982 0.668
1540 -0.117 -0.942 0.708
1541 -0.317 -1.142 0.508
1542 0.003 -0.822 0.828
